report_date,level,source,region,category,count
2026-08-16,total,All,,,1012
2026-08-16,source_summary,JobG8,,,879
2026-08-16,source_summary,External,,,133
2026-08-16,provider,JobG8,,,879
2026-08-16,provider,NEJobs,,,5
2026-08-16,provider,Teaching Vacancies,,,125
2026-08-16,provider,VONNE,,,3
2026-08-16,region_category,JobG8,Berkshire,Admin/Service – Office Support,30
2026-08-16,region_category,JobG8,Bristol & Bath,Admin/Service – Office Support,19
2026-08-16,region_category,JobG8,Cambridgeshire,Admin/Service – Office Support,30
2026-08-16,region_category,JobG8,Cumbria - South,Support Worker – Wide,6
2026-08-16,region_category,JobG8,Devon,Admin/Service – Office Support,26
2026-08-16,region_category,JobG8,Dorset,Admin/Service – Office Support,18
2026-08-16,region_category,JobG8,Essex,Admin/Service – Office Support,33
2026-08-16,region_category,JobG8,Gloucestershire,Admin/Service – Office Support,21
2026-08-16,region_category,JobG8,Greater Manchester - Manchester & Salford,Admin/Service – Office Support,46
2026-08-16,region_category,JobG8,Hampshire,Admin/Service – Office Support,42
2026-08-16,region_category,JobG8,Hampshire,Customer Service / Contact Centre,8
2026-08-16,region_category,JobG8,Hampshire,Support Worker – Wide,19
2026-08-16,region_category,JobG8,Kent,Admin/Service – Office Support,38
2026-08-16,region_category,JobG8,London,Admin/Service – Office Support,123
2026-08-16,region_category,JobG8,London,Customer Service / Contact Centre,10
2026-08-16,region_category,JobG8,London,Finance / Accounts,9
2026-08-16,region_category,JobG8,London,HR / Recruitment,9
2026-08-16,region_category,JobG8,London,Support Worker – Wide,13
2026-08-16,region_category,JobG8,North East,Admin/Service – Office Support,77
2026-08-16,region_category,JobG8,North East,Support Worker – Wide,13
2026-08-16,region_category,JobG8,Northamptonshire,Admin/Service – Office Support,25
2026-08-16,region_category,JobG8,Nottinghamshire,Admin/Service – Office Support,25
2026-08-16,region_category,JobG8,Oxfordshire,Admin/Service – Office Support,30
2026-08-16,region_category,JobG8,Surrey,Admin/Service – Office Support,43
2026-08-16,region_category,JobG8,Surrey,Customer Service / Contact Centre,10
2026-08-16,region_category,JobG8,Sussex,Admin/Service – Office Support,36
2026-08-16,region_category,JobG8,Sussex,Support Worker – Wide,10
2026-08-16,region_category,JobG8,West Midlands - Coventry & Warwickshire,Admin/Service – Office Support,19
2026-08-16,region_category,JobG8,Wiltshire,Admin/Service – Office Support,11
2026-08-16,region_category,JobG8,Yorkshire - North,Admin/Service – Office Support,14
2026-08-16,region_category,JobG8,Yorkshire - South,Admin/Service – Office Support,19
2026-08-16,region_category,JobG8,Yorkshire - South,Support Worker – Wide,3
2026-08-16,region_category,JobG8,Yorkshire - West,Admin/Service – Office Support,39
2026-08-16,region_category,JobG8,Yorkshire - West,Support Worker – Wide,5
2026-08-16,region_category,NEJobs,North East,Admin/Service – Office Support,5
2026-08-16,region_category,Teaching Vacancies,Berkshire,Admin/Service – Office Support,10
2026-08-16,region_category,Teaching Vacancies,Bristol & Bath,Admin/Service – Office Support,3
2026-08-16,region_category,Teaching Vacancies,Cambridgeshire,Admin/Service – Office Support,10
2026-08-16,region_category,Teaching Vacancies,Devon,Admin/Service – Office Support,11
2026-08-16,region_category,Teaching Vacancies,Dorset,Admin/Service – Office Support,5
2026-08-16,region_category,Teaching Vacancies,Essex,Admin/Service – Office Support,4
2026-08-16,region_category,Teaching Vacancies,Greater Manchester - Manchester & Salford,Admin/Service – Office Support,1
2026-08-16,region_category,Teaching Vacancies,Hampshire,Admin/Service – Office Support,1
2026-08-16,region_category,Teaching Vacancies,Kent,Admin/Service – Office Support,3
2026-08-16,region_category,Teaching Vacancies,London,Admin/Service – Office Support,24
2026-08-16,region_category,Teaching Vacancies,Northamptonshire,Admin/Service – Office Support,4
2026-08-16,region_category,Teaching Vacancies,Nottinghamshire,Admin/Service – Office Support,4
2026-08-16,region_category,Teaching Vacancies,Oxfordshire,Admin/Service – Office Support,7
2026-08-16,region_category,Teaching Vacancies,Surrey,Admin/Service – Office Support,2
2026-08-16,region_category,Teaching Vacancies,Sussex,Admin/Service – Office Support,4
2026-08-16,region_category,Teaching Vacancies,West Midlands - Coventry & Warwickshire,Admin/Service – Office Support,3
2026-08-16,region_category,Teaching Vacancies,Wiltshire,Admin/Service – Office Support,3
2026-08-16,region_category,Teaching Vacancies,Yorkshire - North,Admin/Service – Office Support,4
2026-08-16,region_category,Teaching Vacancies,Yorkshire - South,Admin/Service – Office Support,7
2026-08-16,region_category,Teaching Vacancies,Yorkshire - West,Admin/Service – Office Support,15
2026-08-16,region_category,VONNE,North East,Admin/Service – Office Support,3
