run_date,source,source_job_id,canonical_url,title,employer,location,postcode,salary_text,posted_date,closing_date,employment_type,description_excerpt,first_discovery_route,first_discovery_query,first_discovery_page,discovery_routes,discovery_occurrences,detail_fetch_status,factual_fingerprint,geo_cluster,ontap_region,geography_status,geography_reason,geography_lookup_key,slice_category,slice_status,publish_eligible
2026-09-24,Teaching Vacancies,administration-assistant-8d8ac0a7-a98b-475c-8071-d2b44eff23d7,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-8d8ac0a7-a98b-475c-8071-d2b44eff23d7,Administration Assistant,Wellfield School,"Wingate, North East, TS28 5AX",TS28 5AX,"£23,820.00 - £24,320.00 Annually (Actual) Actual Salary based on working 37hrs Term Time Only plus 5 days",2026-09-14,2026-09-30T23:59:00+01:00,['FULL_TIME'],"Administration Assistant Term time plus 5 days 37 hours per week - Monday to Thursday 8:30am-4:30pm & Friday 8:45am-4:15pm We are seeking a proactive and friendly Administration Assistant to join our vibrant Administration Team. In this varied role, you will be the first point of contact for all visitors, ensuring a warm welcome and following safeguarding procedures. Your responsibilities will include managing reception, handling phone calls and enquiries, sorting and distributing mail, and providing support for school events and meetings. You will also assist with general administrative tasks such as raising purchase orders, managing deliveries, booking meeting rooms, and offering reprographics support. The ideal candidate will have excellent ICT skills, good numeracy and literacy, and the ability to build strong relationships with students, staff, and external contacts. Experience in administration is essential, and familiarity with Arbor or First Aid is desirable. If you are organised, flexible, and have a positive, can-do attitude, we would love to hear from you. This is a great opportunity to contribute to a dynamic and supportive team in a thriving school environment. To find",administration-category,"Administration, HR, data and finance",25,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",2,OK,0b6bca3437428b199f4723d84e3d666d319725d281acab5cb713bb3807368c97,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,administration-assistant-the-education-alliance,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-the-education-alliance,Administration Assistant,The Education Alliance,"North Ferriby, HU14 3HS",HU14 3HS,"£22,793.07 per annum",2026-09-21,2026-09-25T09:00:00+01:00,['FULL_TIME'],"What are we looking for? We are looking for an individual who has: Excellent organisational skills A good eye for detail as well as A good standard of education including literacy and numeracy at GCSE grade C/4 or equivalent, Excellent ICT skills Experience of working in a busy office environment in an administrative role Full details of our requirements can be found in the person specification.",administration-category,"Administration, HR, data and finance",4,"[{""page"": 4, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,b0fcb1cbc9b55bf042c0c7666cca5d6c38042845f5de1b9929ba9355997e6f7b,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,administrator-8989d632-698e-40ab-b78b-ea570b291fb3,https://teaching-vacancies.service.gov.uk/jobs/administrator-8989d632-698e-40ab-b78b-ea570b291fb3,Administrator,Melland High School,"Gorton, North West, M18 7DT",M18 7DT,"£22,710.00 - £24,204.00 Annually (Actual) Grade 4, points 7 - 11",2026-09-17,2026-10-07T12:00:00+01:00,['FULL_TIME'],"We are seeking to appoint an experienced administrator to join our Administration Team in a busy school office providing administrative support to SLT and teaching staff. Melland High School is an outstanding school which meets the diverse special educational needs of students aged between 11 and 19 years of age. It is co-located with Cedar Mount Academy in Gorton Education Village and is a member of the Bright Futures Educational Trust. Melland is a specialist support school for central and east Manchester high schools, a National Support School and leads on SEND provision across the eleven academies within Bright Futures. As a high achieving inclusive learning environment, the school is proud to uphold the values of passion, community and integrity. Melland’s bespoke curriculum is appropriately broad and balanced, has spiritual, moral, social and cultural development at its heart and actively supports all students as they prepare for adulthood.",administration-category,"Administration, HR, data and finance",46,"[{""page"": 46, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,fa453e8f27d618e97d3a5cb0945d6c665ea78999ed8c5df5f14619347abff73b,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,assistant-finance-business-partner-st-thomas-aquinas-catholic-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/assistant-finance-business-partner-st-thomas-aquinas-catholic-multi-academy-trust,Assistant Finance Business Partner,St Thomas Aquinas Catholic Multi Academy Trust,"Cossington, LE7 4UZ",LE7 4UZ,"£28,142.00 - £31,022.00 Annually (Actual) Band 4 - £28,142 - £31,022 FTE (pay award pending)",2026-09-22,2026-10-06T09:00:00+01:00,['FULL_TIME'],"We are seeking an enthusiastic, analytical and highly organised Assistant Finance Business Partner to play a key role in delivering an efficient, effective and customer-focused finance service across our Multi-Academy Trust. This is an excellent opportunity for an individual with finance, payroll or budgeting experience who enjoys working with data, solving problems and building strong working relationships. The successful candidate will work closely with Finance Business Partners, HR and school leaders to ensure staffing budgets, payroll costs and financial records are accurately maintained and monitored. We are looking for someone who: Has experience working in finance, budgeting or a related field. Possesses excellent numerical, analytical and problem-solving skills. Is highly organised with strong attention to detail. Can investigate and explain financial variances confidently. Has excellent communication and customer service skills. Is confident using financial systems and Microsoft Excel. Can manage multiple priorities and meet deadlines. Works effectively both independently and as part of a team. Experience within the education sector, academies or public sector finance woul",administration-category,"Administration, HR, data and finance",44,"[{""page"": 44, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,c21b8bd606d7a4df522f209bac280c7350471d6c4e97fd95067c2059735ec649,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,attendance-officer-cranford-park-church-of-england-primary-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-officer-cranford-park-church-of-england-primary-school,Attendance Officer,Cranford Park Church of England Primary School,"Yateley, South East, GU46 6LB",GU46 6LB,"Grade B pro rata (£24,796 to £25,128 FTE)",2026-08-28,2026-09-30T23:59:00+01:00,"['PART_TIME', 'TEMPORARY']","Cranford Park CE Primary School is a delightful one-form-entry school in Yateley – a “small school with a big heart” (Ofsted 2025), set in a spacious attractive environment. We are an inclusive, nurturing school looking for a positive, resilient individual to join our friendly team as an Attendance Officer, working directly with the headteacher to improve the attendance of our pupils. This is a fantastic opportunity to play a key role in supporting pupil attendance within a welcoming school environment. The successful candidate will be required to work with families to improve the attendance of children throughout the primary age range. A trusting, positive relationship will be essential in ensuring the best progress so the successful candidate will need a warm, enthusiastic approach, while maintaining high expectations for improvement where necessary. You will need initiative and a creative approach to bespoke solutions for our different families. See role description for more details. We are ideally looking for someone who: Has some experience of working with families as a front-line, public-sector worker. This would not need to be in education. Is organised, detail-oriented and",administration-category,"Administration, HR, data and finance",26,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,3ffb50003943507009d866c249702fa3aa5b64888517e5da224e6406209cdfb1,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,data-manager-cedar-mount-academy-gorton-greater-manchester,https://teaching-vacancies.service.gov.uk/jobs/data-manager-cedar-mount-academy-gorton-greater-manchester,Data Manager,Cedar Mount Academy,"Gorton, North West, M18 7DT",M18 7DT,"£29,969.00 - £32,881.00 Annually (Actual)",2026-09-21,2026-09-28T23:59:00+01:00,['FULL_TIME'],"We welcome colleagues to Cedar Mount who are driven by a moral purpose and are keen to learn and grow. The successful candidate will have a strong knowledge of school processes and an exceptional eye for detail, ensuring that data management, assessment, data compliance, local reporting and statutory returns are completed accurately and to deadline. The ability to learn other data related educational software is essential, alongside excellent communication and collaboration skills. The Data Manager is an integral member of the Academy’s Middle Leadership Team. The post holder has responsibility for the planning, development, design and organisation of strategic and operational data management systems, procedures and policies to ensure a consistent school wide focus on raising pupil achievement. The role is supported by the Trust Data and Performance Lead and works closely with the Senior Leadership Team at Cedar Mount Academy. Alongside their core responsibilities within the academy, the postholder will contribute to Trust-level data work and provide additional data support across the Trust as required. This wider professional remit will provide opportunities to develop expertise,",administration-category,"Administration, HR, data and finance",19,"[{""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,f0d03fb619acf5886b671990d22ab1f28cb355e0156dcf28e67ca727693025f9,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,governance-professional-and-executive-pa-to-the-ceo,https://teaching-vacancies.service.gov.uk/jobs/governance-professional-and-executive-pa-to-the-ceo,Governance Professional and Executive PA to the CEO,Lighthouse Multi Academy Trust,"Willenhall, WV12 5HA",WV12 5HA,"£46,579.00 - £51,928.00 Annually (Actual) Grade 10 ScP 34-39",2026-09-14,2026-10-08T12:00:00+01:00,['FULL_TIME'],"Key Areas of Responsibility 1. Governance Professional Provide a professional governance service to the Trust, Members, Trustees, committees and Local Governing Bodies. Advise Members, Trustees and Governors on governance requirements, statutory responsibilities, Trust governance arrangements and good practice. Work collaboratively with the CEO and other Trust leaders to develop and maintain governance arrangements that support the Trust's strategic objectives and future growth. Maintain and review the Trust's governance framework, including the Scheme of Delegation, committee terms of reference, annual governance cycle, policy schedule and meeting framework. Ensure that governance arrangements operate in accordance with the Trust's Articles of Association, Scheme of Delegation, relevant legislation, regulation and statutory guidance. Plan and coordinate meetings of Members, the Board of Trustees and its committees, including agenda planning, preparation and circulation of papers, minute taking and action tracking. Support the Chair of Trustees, committee Chairs and the CEO to ensure that meetings are well prepared, information is available at the appropriate time and effective dec",administration-category,"Administration, HR, data and finance",48,"[{""page"": 48, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,abdef9529955b68942e0f3bbb481530bf1c8afb290b0bace8c95dd5e0f4ecbea,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,hr-lead-pa-forest-hall-school,https://teaching-vacancies.service.gov.uk/jobs/hr-lead-pa-forest-hall-school,HR Lead & PA,Forest Hall School,"Stansted Mountfitchet, East of England, CM24 8TZ",CM24 8TZ,"£28,715.00 - £35,067.00 Annually (Actual)",2026-09-09,2026-09-30T23:59:00+01:00,['PART_TIME'],"AsHR Lead & PA , you will play a central role in ensuring both schools operate efficiently by leading day-to-day HR functions while providing high-quality executive support to the Executive Headteacher and leadership teams across two school sites. You will take ownership of the full employee lifecycle, overseeing recruitment, safer recruitment compliance, payroll administration, workforce records, absence management, employee relations and performance processes. Working closely with school leaders and the Trust HR team, you will ensure that all HR practices are compliant, efficient and provide an excellent experience for staff. Alongside your HR leadership responsibilities, you will act as the Executive Headteacher's trusted Personal Assistant, managing complex diaries, coordinating meetings, preparing reports and presentations, organising governance and leadership meetings, and ensuring the smooth coordination of strategic priorities across both schools. You will be the first point of contact for many stakeholders, exercising sound judgement, maintaining absolute confidentiality and anticipating the needs of the Executive Headteacher in a fast-paced environment. This is a varied a",administration-category,"Administration, HR, data and finance",26,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,fb0933486031c931da9f74e40dc6efbaa0fb2e4a0df8b491d657e272471d61a1,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,junior-hr-business-partner,https://teaching-vacancies.service.gov.uk/jobs/junior-hr-business-partner,Junior HR Business Partner,The Two Counties Trust,"Kirby In Ashfield, NG17 8HP",NG17 8HP,"£32,578.00 - £34,811.00 Annually (FTE) Grade 5: £32,578 - £34,811 per annum",2026-09-11,2026-09-25T12:00:00+01:00,['FULL_TIME'],"Grade and Salary: Grade 5: £32,578 - £34,811 per annum Working pattern: 37 hours per week, year round Contract term: Permanent An exciting opportunity has arisen to join our Human Resources Team as a Junior HR Business Partner. This is a varied role, combining HR advisory and recruitment responsibilities providing an excellent opportunity for someone looking to develop their career within Human Resources. You will be working closely with schools across the Trust, to provide first-line HR guidance to leaders on a range of employment matters, support employee relations processes, and assist with the delivery of HR initiatives. You will also coordinate end-to-end recruitment campaigns, including advertising vacancies, onboarding new starters, completing pre-employment checks, and preparing contracts and employment documentation throughout the employee lifecycle. The ideal candidate will have experience working within an HR and/or recruitment environment, with a good understanding of employment legislation and HR best practice. A CIPD qualification, or willingness to work towards one, would be advantageous. We are seeking a proactive and confident communicator with experience in HR and",administration-category,"Administration, HR, data and finance",4,"[{""page"": 4, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,67420b2e62e53f36bfc0f2fce6a6f92e0d1501b95ea29c49de46a2f3d73095d5,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
2026-09-24,Teaching Vacancies,office-administrator-st-george-s-church-of-england-academy,https://teaching-vacancies.service.gov.uk/jobs/office-administrator-st-george-s-church-of-england-academy,Office Administrator,St. George's Church of England Academy,"North East, DL2 1LD",DL2 1LD,"£26,427.24 Annually (FTE) Actual salary £14,900 based on 25 hours, term time only.",2026-09-11,2026-09-28T12:00:00+01:00,['PART_TIME'],"We are looking to welcome enthusiastic and reliable applicants to join our school family at St George’s. We are a village primary school at the heart of its community and are looking for candidates who can support pupils, parents, staff and governors. The successful candidate will liaise and work closely with the Senior Leadership Team. Candidates will: Possess excellent communication skills Be competent with IT systems Be confident in dealing with children and adults Keep calm under pressure whilst maintaining confidentiality Be enthusiastic and supportive of the Academy ethos Successful applicants will receive: A supportive working environment that puts people at the heart of the organization. Continuous professional development National Terms and Conditions of Employment. The opportunity to work as part of a growing Trust.",administration-category,"Administration, HR, data and finance",17,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",4,OK,61380efec6dd658999e99b39fcbfe013c27c9f09c5a0fc3cbcdc19a16a9ed7d5,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,,admin_service,UNREGISTERED,NO
